  Pool 1
  Rolls: 5

  Rarity odds:
  - Common: per pack 100% (1/1); expected 5

  Card odds:
  - tcg:sm12_002: Oddish [Common]: per pack 7.2432% (1/14)
  - tcg:sm12_005: Tangela [Common]: per pack 7.2432% (1/14)
  - tcg:sm12_007: Sunkern [Common]: per pack 7.2432% (1/14)
  - tcg:sm12_013: Kricketot [Common]: per pack 7.2432% (1/14)
  - tcg:sm12_015: Deerling [Common]: per pack 7.2432% (1/14)
  - tcg:sm12_017: Rowlet [Common]: per pack 7.2432% (1/14)
  - tcg:sm12_018: Rowlet [Common]: per pack 7.2432% (1/14)
  - tcg:sm12_023: Ponyta [Common]: per pack 7.2432% (1/14)
  - tcg:sm12_026: Slugma [Common]: per pack 7.2432% (1/14)
  - tcg:sm12_031: Tepig [Common]: per pack 7.2432% (1/14)
  - tcg:sm12_036: Litleo [Common]: per pack 7.2432% (1/14)
  - tcg:sm12_039: Alolan Vulpix [Common]: per pack 7.2432% (1/14)
  - tcg:sm12_040: Psyduck [Common]: per pack 7.2432% (1/14)
  - tcg:sm12_043: Sneasel [Common]: per pack 7.2432% (1/14)
  - tcg:sm12_045: Wailmer [Common]: per pack 7.2432% (1/14)
  - tcg:sm12_047: Snorunt [Common]: per pack 7.2432% (1/14)
  - tcg:sm12_049: Spheal [Common]: per pack 7.2432% (1/14)
  - tcg:sm12_050: Spheal [Common]: per pack 7.2432% (1/14)
  - tcg:sm12_054: Piplup [Common]: per pack 7.2432% (1/14)
  - tcg:sm12_058: Tympole [Common]: per pack 7.2432% (1/14)
  - tcg:sm12_059: Ducklett [Common]: per pack 7.2432% (1/14)
  - tcg:sm12_064: Dewpider [Common]: per pack 7.2432% (1/14)
  - tcg:sm12_066: Pikachu [Common]: per pack 7.2432% (1/14)
  - tcg:sm12_068: Magnemite [Common]: per pack 7.2432% (1/14)
  - tcg:sm12_071: Chinchou [Common]: per pack 7.2432% (1/14)
  - tcg:sm12_074: Togedemaru [Common]: per pack 7.2432% (1/14)
  - tcg:sm12_076: Koffing [Common]: per pack 7.2432% (1/14)
  - tcg:sm12_078: Natu [Common]: per pack 7.2432% (1/14)
  - tcg:sm12_080: Ralts [Common]: per pack 7.2432% (1/14)
  - tcg:sm12_083: Duskull [Common]: per pack 7.2432% (1/14)
  - tcg:sm12_087: Woobat [Common]: per pack 7.2432% (1/14)
  - tcg:sm12_089: Golett [Common]: per pack 7.2432% (1/14)
  - tcg:sm12_091: Skrelp [Common]: per pack 7.2432% (1/14)
  - tcg:sm12_093: Phantump [Common]: per pack 7.2432% (1/14)
  - tcg:sm12_099: Cosmog [Common]: per pack 7.2432% (1/14)
  - tcg:sm12_100: Cosmog [Common]: per pack 7.2432% (1/14)
  - tcg:sm12_105: Onix [Common]: per pack 7.2432% (1/14)
  - tcg:sm12_106: Nosepass [Common]: per pack 7.2432% (1/14)
  - tcg:sm12_107: Trapinch [Common]: per pack 7.2432% (1/14)
  - tcg:sm12_108: Trapinch [Common]: per pack 7.2432% (1/14)
  - tcg:sm12_114: Drilbur [Common]: per pack 7.2432% (1/14)
  - tcg:sm12_116: Palpitoad [Common]: per pack 7.2432% (1/14)
  - tcg:sm12_119: Pancham [Common]: per pack 7.2432% (1/14)
  - tcg:sm12_121: Crabrawler [Common]: per pack 7.2432% (1/14)
  - tcg:sm12_123: Rockruff [Common]: per pack 7.2432% (1/14)
  - tcg:sm12_125: Passimian [Common]: per pack 7.2432% (1/14)
  - tcg:sm12_126: Sandygast [Common]: per pack 7.2432% (1/14)
  - tcg:sm12_128: Alolan Meowth [Common]: per pack 7.2432% (1/14)
  - tcg:sm12_130: Alolan Grimer [Common]: per pack 7.2432% (1/14)
  - tcg:sm12_132: Carvanha [Common]: per pack 7.2432% (1/14)
  - tcg:sm12_134: Pawniard [Common]: per pack 7.2432% (1/14)
  - tcg:sm12_137: Alolan Sandshrew [Common]: per pack 7.2432% (1/14)
  - tcg:sm12_146: Azurill [Common]: per pack 7.2432% (1/14)
  - tcg:sm12_147: Cottonee [Common]: per pack 7.2432% (1/14)
  - tcg:sm12_149: Flabébé [Common]: per pack 7.2432% (1/14)
  - tcg:sm12_150: Flabébé [Common]: per pack 7.2432% (1/14)
  - tcg:sm12_153: Swirlix [Common]: per pack 7.2432% (1/14)
  - tcg:sm12_160: Jangmo-o [Common]: per pack 7.2432% (1/14)
  - tcg:sm12_161: Jangmo-o [Common]: per pack 7.2432% (1/14)
  - tcg:sm12_166: Eevee [Common]: per pack 7.2432% (1/14)
  - tcg:sm12_167: Eevee [Common]: per pack 7.2432% (1/14)
  - tcg:sm12_169: Aipom [Common]: per pack 7.2432% (1/14)
